Solid5500_2014_11_07_1_L01-1-Idx_3-3.bam	Solid5500_2014_11_07_1_L01-1-Idx_4-4.bam	Solid5500_2014_11_07_1_L01-1-Idx_5-5.bam	Solid5500_2014_11_07_1_L01-1-Idx_6-6.bam	Solid5500_2014_11_07_1_L02-1-Idx_7-7.bam	Solid5500_2014_11_07_1_L02-1-Idx_8-8.bam	Solid5500_2014_11_07_1_L02-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L02-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_9-9.bam	Solid5500_2014_11_07_1_L03-1-Idx_10-10.bam	Solid5500_2014_11_07_1_L03-1-Idx_11-11.bam	Solid5500_2014_11_07_1_L03-1-Idx_12-12.bam
ENSDARG00000039268	43,6711283776845	39,8451347085626	35,4779926984065	41,5184404645339	64,4599916762439	44,6200349152344	52,1873345649874	39,9903445274433	36,9452248673137	29,4323709415304	47,0473401813575	51,1242946216946
ENSDARG00000035028	204,162525165675	93,9206746701832	76,9805501946557	54,8636534709912	254,386752865177	140,553109982988	106,143731318618	149,574275635113	186,26550870604	93,6484529957785	78,7531563905332	52,0889039541794
ENSDARG00000079949	877,789680391458	943,001521435981	977,987685516452	1017,20179138108	704,455623318951	740,692579592891	1018,09528956441	841,355300447509	959,036462180685	965,916900899316	1008,44950910475	1002,22909645171
ENSDARG00000084871	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070207	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070208	0	0	0	0	1,15107127993293	0	0	0	0	0	0	0
ENSDARG00000089014	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000059103	0	0	0	0	0	0	0,88453109432182	0	0	0	1,02276826481212	0
ENSDARG00000081256	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000091546	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000078137	0	0	0,66939608864918	0	1,15107127993293	0	0,88453109432182	0	0	0	0	0
ENSDARG00000039896	0	0	0	0	1,15107127993293	0	0	0	0	0	0	0
ENSDARG00000039895	9,82600388497901	9,48693683537204	3,3469804432459	8,89680867097155	21,8703543187256	6,69300523728516	6,19171766025274	4,67419611359727	16,9332280641855	2,67567008559367	5,1138413240606	4,82304666242402
ENSDARG00000067588	0	0	0	0	0	0	0,88453109432182	0	0	0	0	0
ENSDARG00000025871	0	0	0	0	0	0	0	0,51935512373303	0	0	0	0
ENSDARG00000091695	0	1,89738736707441	2,00818826594754	1,48280144516192	4,60428511973171	0	1,76906218864364	3,11613074239818	0	1,33783504279684	0	0
ENSDARG00000093474	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000058829	0	0	0	0	0	0	0	0,51935512373303	0	0	1,02276826481212	0,964609332484803
ENSDARG00000090813	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000088655	8,7342256755369	4,74346841768602	2,00818826594754	1,48280144516192	4,60428511973171	4,46200349152344	0	1,55806537119909	13,8544593252426	5,35134017118734	0	0
ENSDARG00000068030	1055,74952853052	401,297428136237	272,444208080216	207,592202322669	1238,55269720783	522,79807575683	286,58807456027	179,696872811629	945,182002855443	727,782263281479	315,012625562133	292,276627742895
ENSDARG00000089961	116,820268410306	46,485990493323	66,939608864918	32,6216317935623	141,58176743175	72,8793903615496	91,9912338094693	106,987155489004	83,1267559514559	52,1755666690766	99,2085216867756	53,0535132866642
ENSDARG00000087424	9,82600388497901	4,74346841768602	14,0573178616328	8,89680867097155	5,75535639966463	4,46200349152344	6,19171766025274	4,67419611359727	4,61815310841422	4,01350512839051	8,18214611849696	3,85843732993921
ENSDARG00000053761	20,7437859794001	27,5121168225789	20,7512787481246	22,2420216774289	32,2299958381219	10,4113414802214	7,96077984889638	14,0225883407918	29,2483030199567	22,7431957275462	10,2276826481212	18,3275773172113
ENSDARG00000078093	46,9464630060108	51,229458911009	7,36335697514098	7,41400722580962	151,941408951146	26,7720209491407	7,96077984889638	9,34839222719455	41,5633779757279	53,5134017118734	2,04553652962424	15,4337493197569
ENSDARG00000076146	19,652007769958	18,9738736707441	9,37154524108852	5,9312057806477	42,5896373575183	22,3100174576172	4,4226554716091	11,4258127221267	29,2483030199567	24,0810307703431	7,15937785368484	6,75226532739362
ENSDARG00000090415	1,09177820944211	0,948693683537204	0,66939608864918	0	5,75535639966463	0	0	0	0	0	1,02276826481212	0
ENSDARG00000087289	2,18355641888422	7,58954946829763	2,67758435459672	0	4,60428511973171	0,74366724858724	0	1,03871024746606	6,15753747788562	2,67567008559367	0	0,964609332484803
ENSDARG00000091721	0	7,58954946829763	0	2,96560289032385	1,15107127993293	1,48733449717448	0	0,51935512373303	0	1,33783504279684	0	0
ENSDARG00000097745	1,09177820944211	0	1,33879217729836	0	0	0	0,88453109432182	0,51935512373303	0	0	1,02276826481212	0
ENSDARG00000087375	6,55066925665267	9,48693683537204	8,03275306379016	5,9312057806477	9,20857023946341	24,5410192033789	6,19171766025274	8,82903710346152	9,23630621682843	16,054020513562	8,18214611849696	11,5753119898176
ENSDARG00000041333	0	0,948693683537204	0	0	0	0,74366724858724	0	1,03871024746606	0	0	0	0
ENSDARG00000097459	1,09177820944211	0	0	1,48280144516192	0	0	0,88453109432182	0	1,53938436947141	1,33783504279684	1,02276826481212	0,964609332484803
ENSDARG00000076286	1,09177820944211	3,79477473414881	0,66939608864918	5,9312057806477	0	0	0	1,55806537119909	0	0	0	0
ENSDARG00000086867	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000039888	0	0	0	0	1,15107127993293	0,74366724858724	0	0	0	0	0	0
ENSDARG00000076398	10,9177820944211	4,74346841768602	2,67758435459672	0	12,6617840792622	0	0	0,51935512373303	3,07876873894281	1,33783504279684	0	0
ENSDARG00000092908	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070872	0	0	0	0	0	0	1,76906218864364	0	0	2,67567008559367	0	0,964609332484803
ENSDARG00000086565	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094270	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095410	2,18355641888422	1,89738736707441	1,33879217729836	0	1,15107127993293	2,97466899434896	0	1,03871024746606	3,07876873894281	1,33783504279684	1,02276826481212	0,964609332484803
ENSDARG00000076257	5,45889104721056	3,79477473414881	1,33879217729836	0	0	2,23100174576172	1,76906218864364	1,55806537119909	6,15753747788562	6,68917521398418	1,02276826481212	0,964609332484803
ENSDARG00000079234	7,64244746609479	1,89738736707441	0,66939608864918	1,48280144516192	5,75535639966463	2,23100174576172	0,88453109432182	2,07742049493212	3,07876873894281	1,33783504279684	7,15937785368484	1,92921866496961
ENSDARG00000026505	17,4684513510738	15,1790989365953	12,7185256843344	14,8280144516192	25,3235681585244	16,3606794689193	15,0370286034709	19,2161395781221	13,8544593252426	12,0405153851715	25,569206620303	14,4691399872721
ENSDARG00000094779	3,27533462832634	1,89738736707441	0	0	1,15107127993293	0,74366724858724	0	2,07742049493212	4,61815310841422	0	0	0
ENSDARG00000043770	0	0,948693683537204	0,66939608864918	0	0	0,74366724858724	0,88453109432182	0	1,53938436947141	0	0	0
ENSDARG00000088682	1,09177820944211	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000043769	0	0,948693683537204	0	0	0	0	0	0	1,53938436947141	0	0	0,964609332484803
ENSDARG00000043768	0	0,948693683537204	0	0	0	0	0,88453109432182	1,03871024746606	0	0	1,02276826481212	0
ENSDARG00000043767	1,09177820944211	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094383	1,09177820944211	1,89738736707441	0	1,48280144516192	3,45321383979878	1,48733449717448	0	0	0	4,01350512839051	0	0,964609332484803
ENSDARG00000086282	0	0	0	0	0	0	0	0,51935512373303	0	0	0	0
ENSDARG00000087872	3,27533462832634	0,948693683537204	0,66939608864918	1,48280144516192	0	0,74366724858724	0,88453109432182	0,51935512373303	0	0	0	0,964609332484803
ENSDARG00000093391	2,18355641888422	0	0	0	1,15107127993293	1,48733449717448	0,88453109432182	0	0	0	0	0
ENSDARG00000043736	0	0,948693683537204	0	0	1,15107127993293	0	0	0	0	0	2,04553652962424	0
ENSDARG00000070850	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000042752	0	0	0,66939608864918	0	0	0	0,88453109432182	0	0	0	0	0,964609332484803
ENSDARG00000093196	1,09177820944211	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000025505	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000070852	2,18355641888422	5,69216210122322	0	0	6,90642767959756	5,20567074011068	0	0	6,15753747788562	6,68917521398418	1,02276826481212	0,964609332484803
ENSDARG00000089958	0	0	0	0	0	0,74366724858724	0,88453109432182	0	0	0	0	0,964609332484803
ENSDARG00000091095	0	0	0	0	0	0	0	0,51935512373303	0	0	0	0,964609332484803
ENSDARG00000034330	0	0	0	0	0	0	0,88453109432182	0	0	0	0	0
ENSDARG00000070851	0	0	0,66939608864918	0	0	0	0,88453109432182	0	0	1,33783504279684	0	0
ENSDARG00000043735	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095326	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000086419	12,0095603038632	17,0764863036697	8,70214915243934	7,41400722580962	20,7192830387927	17,1043467175065	7,96077984889638	21,2935600730542	7,69692184735703	8,02701025678102	11,2504509129333	5,78765599490882
ENSDARG00000093595	0	0,948693683537204	0	0	0	0	0	0	0	0	0	0
ENSDARG00000079924	1,09177820944211	0	0	0	0	0	0	0	0	0	1,02276826481212	0
ENSDARG00000011170	1180,21224440692	660,290803741894	350,76355045217	321,767913600138	1040,56843705937	1005,43812008995	358,235093200337	428,987332203483	620,371900896976	718,417417981901	325,240308210254	323,144126382409
ENSDARG00000085711	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000022579	513,135758437793	461,065130199081	504,724650841482	432,978021987282	488,054222691561	369,602622547858	387,424619312957	335,503409931538	397,161167323623	421,418038481003	497,06537669869	526,676695536703
ENSDARG00000042178	0	1,89738736707441	0	0	0	0	0	0	0	0	0	0
ENSDARG00000090645	0	0,948693683537204	0	0	0	0	0	0	0	1,33783504279684	0	0
ENSDARG00000086443	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000041159	0	0	0	0	0	0	0	0	0	0	1,02276826481212	0
ENSDARG00000055567	1,09177820944211	1,89738736707441	1,33879217729836	0	1,15107127993293	2,97466899434896	2,65359328296546	4,15484098986424	1,53938436947141	1,33783504279684	1,02276826481212	5,78765599490882
ENSDARG00000086654	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000055142	2,18355641888422	0	0	0	0	0,74366724858724	0,88453109432182	1,03871024746606	0	0	0	0
ENSDARG00000071173	55,6806886815477	7,58954946829763	0,66939608864918	0	4,60428511973171	9,66767423163413	3,53812437728728	3,11613074239818	35,4058404978423	4,01350512839051	2,04553652962424	4,82304666242402
ENSDARG00000097682	0	0	0	0	0	0	0	0	1,53938436947141	0	0	0
ENSDARG00000055253	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000055313	0	0	0	0	0	0	0	0	1,53938436947141	0	0	0
ENSDARG00000093836	0	0	0	0	0	0	0	0	0	0	1,02276826481212	0
ENSDARG00000093662	0	0	0	0	0	0	0	0	0	0	0	0,964609332484803
ENSDARG00000095337	1,09177820944211	0	0	0	0	0	0	0	1,53938436947141	0	0	0
ENSDARG00000091495	1,09177820944211	0	0	0	0	0	0	0	0	1,33783504279684	0	0
ENSDARG00000078012	0	0,948693683537204	0	0	0	0	0	0	0	0	0	0
ENSDARG00000086460	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000086358	0	0,948693683537204	0	0	0	0,74366724858724	0	0,51935512373303	0	1,33783504279684	0	0
ENSDARG00000088818	0	0	0	1,48280144516192	0	0	0	0	0	0	0	0
ENSDARG00000088252	0	0	0	0	0	0	0	0	1,53938436947141	0	0	0
ENSDARG00000093312	0	0,948693683537204	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093909	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094716	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000089067	0	0	0	0	0	0	0	0,51935512373303	0	0	0	0
ENSDARG00000075003	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000055346	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000075036	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000089258	0	0	0	1,48280144516192	0	0	0	0	0	0	0	0
ENSDARG00000095250	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000075634	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000078821	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095757	0	0	0,66939608864918	0	0	0	0	0	0	0	0	0
ENSDARG00000094372	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000092384	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093673	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094750	0	0	0	0	0	0	0,88453109432182	0	0	0	0	0
ENSDARG00000075669	0	0,948693683537204	0,66939608864918	0	0	0	0	0,51935512373303	0	0	0	0
ENSDARG00000094225	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000095481	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094294	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093876	0	0	0	0	0	0	0	0	0	0	1,02276826481212	0
ENSDARG00000055332	0	0	0	0	0	0,74366724858724	0	0	0	0	0	0
ENSDARG00000077899	0	1,89738736707441	0,66939608864918	0	0	0	0	0	0	0	0	0
ENSDARG00000077260	1,09177820944211	0	0	0	0	0	0	0	0	0	0	2,89382799745441
ENSDARG00000077136	0	0	0	0	0	0,74366724858724	0	0,51935512373303	0	0	1,02276826481212	0,964609332484803
ENSDARG00000085277	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000077395	1,09177820944211	0	0	0	0	0	0,88453109432182	0	0	1,33783504279684	0	0
ENSDARG00000041389	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000092147	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000053114	2,18355641888422	0	0	0	0	0	0,88453109432182	0,51935512373303	0	0	0	0
ENSDARG00000032631	1,09177820944211	0	1,33879217729836	2,96560289032385	0	2,97466899434896	2,65359328296546	0	0	4,01350512839051	2,04553652962424	0
ENSDARG00000095105	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093776	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000088615	2,18355641888422	0,948693683537204	5,35516870919344	5,9312057806477	2,30214255986585	3,7183362429362	6,19171766025274	2,59677561866515	1,53938436947141	5,35134017118734	2,04553652962424	3,85843732993921
ENSDARG00000092167	1,09177820944211	0	0,66939608864918	0	0	0	0	0	0	0	0	0
ENSDARG00000095358	0	0	0	0	2,30214255986585	0	1,76906218864364	2,07742049493212	3,07876873894281	0	3,06830479443636	0
ENSDARG00000055509	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000092391	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000092986	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000055424	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000013743	0	0	0	0	0	0	0	0,51935512373303	0	0	0	0
ENSDARG00000082379	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000077554	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000093050	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000092273	1,09177820944211	0	0	0	0	0	0	0	0	0	1,02276826481212	0,964609332484803
ENSDARG00000087115	0	0	0	1,48280144516192	0	0	0	0	0	0	0	0
ENSDARG00000091549	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000092837	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000094019	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000092146	0	0	0	0	0	0	0	0	0	0	0	0
ENSDARG00000075982	0	0	0	0	0	0	0	0	0	0	0	0,964609332484803
