Gene_ID	Symbol
ENSDARG00000001835	nalcn
ENSDARG00000001857	aff4
ENSDARG00000001859	dbx1b
ENSDARG00000001870	atp1a1a.4
ENSDARG00000001873	phgdh
ENSDARG00000001879	nav2b
ENSDARG00000001880	stx3a
ENSDARG00000001881	cacnb3a
ENSDARG00000001882	kbtbd12
ENSDARG00000001888	ppm1ba
ENSDARG00000001889	tuba1a
ENSDARG00000001890	stt3b
ENSDARG00000001891	syt14b
ENSDARG00000001897	man2b1
ENSDARG00000001898	manea
ENSDARG00000001909	VILL
ENSDARG00000001910	rorab
ENSDARG00000001913	palmda
ENSDARG00000001929	pink1
ENSDARG00000001930	klhl15
ENSDARG00000001933	prkag2b
ENSDARG00000001939	b3gat3
ENSDARG00000001940	dnajc1
ENSDARG00000001950	ak1
ENSDARG00000001953	pfkfb3
ENSDARG00000001968	dock5
ENSDARG00000001969	txlng
ENSDARG00000001971	cthrc1b
ENSDARG00000001972	tpst2
ENSDARG00000001975	hsd11b2
ENSDARG00000001993	myhb
ENSDARG00000001994	stxbp1a
ENSDARG00000001999	adamts18
ENSDARG00000002002	lmcd1
ENSDARG00000002006	rxrbb
ENSDARG00000002013	grb10a
ENSDARG00000002016	ppil2
ENSDARG00000002020	rictorb
ENSDARG00000002021	pygb
ENSDARG00000002026	qkib
ENSDARG00000002031	tox4
ENSDARG00000002037	pfkfb2b
ENSDARG00000002046	btr29
ENSDARG00000002071	adss
ENSDARG00000002077	mnat1
ENSDARG00000002082	ck2a1
ENSDARG00000002084	lamb2
ENSDARG00000002127	stam
ENSDARG00000002128	cwf19l1
ENSDARG00000002131	celf2
ENSDARG00000002148	DVL3 (1 of 2)
ENSDARG00000002165	psme1
ENSDARG00000002167	cacnb1
ENSDARG00000002168	tra2b
ENSDARG00000002174	itfg2
ENSDARG00000002184	igbp1
ENSDARG00000002190	chmp2bb
ENSDARG00000002192	aspn
ENSDARG00000002194	rhd
ENSDARG00000002196	bach1
ENSDARG00000002197	pygl
ENSDARG00000002204	hspb11
ENSDARG00000002210	stk25a
ENSDARG00000002213	invs
ENSDARG00000002215	rtca
ENSDARG00000002216	tbx3a
ENSDARG00000002217	scocb
ENSDARG00000002226	TRIM67
ENSDARG00000002230	sypb
ENSDARG00000002231	PPAP2C (1 of 2)
ENSDARG00000002235	mmp14a
ENSDARG00000002240	psmb6
ENSDARG00000002249	tbxas1
ENSDARG00000002259	ca15c
ENSDARG00000002264	mrpl41
ENSDARG00000002267	dcaf13
ENSDARG00000002271	zfand5b
ENSDARG00000002285	mcoln1a
ENSDARG00000002298	ankrd22
ENSDARG00000002299	arsh
ENSDARG00000002303	xpot
ENSDARG00000002304	gins2
ENSDARG00000002305	me3
ENSDARG00000002332	frmd6
ENSDARG00000002333	fam102bb
ENSDARG00000002336	dlc
ENSDARG00000002339	ccdc101
ENSDARG00000002344	tubb4b
ENSDARG00000002353	tagapa
ENSDARG00000002355	shpk
ENSDARG00000002362	ubald1a
ENSDARG00000002365	cers5
ENSDARG00000002369	UBC
ENSDARG00000002377	mief2
ENSDARG00000002385	atm
ENSDARG00000002391	tlcd1
ENSDARG00000002396	cry-dash
ENSDARG00000002400	nap1l1
ENSDARG00000002401	gale
ENSDARG00000002402	ercc3
ENSDARG00000002403	nusap1
ENSDARG00000002406	zmynd10
ENSDARG00000002411	pde4cb
ENSDARG00000002412	elovl1a
ENSDARG00000002414	glud1b
ENSDARG00000002445	prdm1a
ENSDARG00000002467	rdh14b
ENSDARG00000002479	ercc6l
ENSDARG00000002480	tuba7l
ENSDARG00000002483	WNT7A (1 of 2)
ENSDARG00000002487	noc3l
ENSDARG00000002494	itgb6
ENSDARG00000002502	vat1l
ENSDARG00000002507	itga10
ENSDARG00000002523	hsdl2
ENSDARG00000002533	adora2b
ENSDARG00000002536	tm9sf4
ENSDARG00000002538	smu1a
ENSDARG00000002546	rundc3ab
ENSDARG00000002549	eif3eb
ENSDARG00000002552	mapkapk2a
ENSDARG00000002564	syngr1a
ENSDARG00000002571	tmod2
ENSDARG00000002582	tbx15
ENSDARG00000002587	dpysl3
ENSDARG00000002589	mylpfb
ENSDARG00000002591	ruvbl1
ENSDARG00000002593	slc45a2
ENSDARG00000002600	pcsk1
